"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"game_statistics_loading";"Statistiken werden geladen...";"Statistics are loading...";"Les statistiques sont en chargement...";"A carregar estatísticas...";"Статистика загружается...";"Cargando estadísticas...";"Statistiche in caricamento...";"";"";"Statistieken worden geladen...";"Statystyki ładują się...";"Ladataan tilastoja...";"Estatísticas estão carregando...";"İstatistikler yükleniyor...";"";"Probíhá načítání statistik...";"Τα στατιστικά φορτώνουν...";"A statisztikák betöltése...";"";"Statisticile se încarcă...";"Las estadísticas están cargando...";"Статистика завантажується...";"جاري تحميل الاحصائيات...";"正在载入统计数据...";"正在載入統計數據...";"";"대전 기록을 불러오는 중입니다...";"";""
"rewardscreen_experience_to_go";"%d Erfahrung bis zum nächsten Level";"%d experience to next level up";"%d expérience pour passer au niveau suivant";"%d experiencia para evoluir";"%d опыта до достижения следующего уровня";"%d de experiencia para el siguiente nivel";"%d esperienza al prossimo livello";"%d erfaring til næste niveau";"";"%d ervaring tot volgend niveau omhoog";"%d doświadczenia do kolejnego poziomu";"%d kokemusta seuraavaan tasoon";"%d faltando para o próximo nível";"Sonraki seviye için %d tecrübe puanı";"";"%d zkušeností do další úrovně";"%d εμπειρία για το επόμενο επίπεδο";"";"";"%d experiență până la nivelul următor";"%d experiencia para el siguiente nivel";"%d досвіду до наступного рівня";"%d خبر للمستوى القادم";"还需 %d 经验值才能升级";"還需 %d 經驗值才能升級";"";"다음 레벨까지 남은 경험치: %d";"";""
"reward_screen_experience_max";"Maximales Level erreicht!";"Max level reached!";"Niveau maximum atteint!";"Nível máximo alcançado!";"Достигнут максимальный уровень!";"¡Máximo nivel alcanzado!";"Massimo livello raggiunto!";"";"";"Maximum level bereikt!";"Maksymalny poziom osiągnięty!";"Maksimitaso saavutettu!";"Nível máximo alcançado!";"Seviye limitine ulaşıldı!";"";"Maximální úroveň dosažena!";"Έφτασες στο ανώτατο επίπεδο!";"Maximális szint elérve!";"";"Nivelul maxim atins!";"¡Nivel máximo alcanzado!";"Досягнуто максимального рівня!";"وصلت الى اقصى مستوى!";"已达最高级别！";"已達最高級！";"";"최대 레벨 도달에 도달했습니다!";"";""
"reward_screen_experience_no_premium";"Diese Bonuserfahrung erhältst du mit einem aktiven Premiumaccount!";"Get premium time to earn bonus xp!";"Obtient du temps premium pour gagner des xp bonus!";"Obtém tempo prêmio para receber xp extra!";"Получите Premium время, чтобы заработать бонус xp!";"¡Obtén premium para ganar un bono de experiencia!";"Ottieni il tempo premium per guadagnare xp bonus!";"";"";"Neem premium tijd om bonus xp te verdienen!";"Zdobądź status premium aby dostawać bonusowe doświadczenie!";"Hanki premium-aikaa ansaitaksesi bonus kokemusta!";"Garanta o tempo premium e ganhe experiência bônus!";"Ekstra tecrübe puanı kazanmak için premium satın al!";"";"Získej premium pro bonusové xp!";"Πάρε χρόνο προνομίων για να κερδίσεις μπόνους εμπειρία!";"Szerezz prémiumot bónusz tapasztalatért!";"";"Obține timp premium pentru a câștiga bonus experienta!";"¡Obtenga tiempo Premium para ganar bonos de XP!";"Отримайте преміальний час, щоб заробити бонус xp!";"احصل على الامتياز للحصول على نقاط خبرة اضافية!";"购买付费会员来赢得额外的经验值！";"用付費會員時間來贏到額外的經驗值！";"";"프리미엄으로 추가 경험치를 얻으세요!";"";""
"reward_screen_currency_no_premium";"Diese Bonuscredits erhältst du mit einem aktiven Premiumaccount!";"Get premium time to earn bonus credits!";"Obtient du temps premium pour gagner des crédits bonus!";"Obtém tempo prêmio para receber créditos extra!";"Получить Premium время, чтобы заработать бонусные кредиты!";"¡Obtén premium para ganar un bono de créditos!";"Ottieni il tempo premium per guadagnare crediti bonus!";"";"";"Neem premium tijd om bonus credits te verdienen!";"Zdobądź status premium aby dostawać bonusowe kredyty!";"Hanki premium-aikaa ansaitaksesi bonuskrediittejä!";"Garanta o tempo premium e ganhe créditos bônus!";"Ekstra kredi kazanmak için premium satın al!";"";"Získej premium pro bonusové kredity!";"Πάρε χρόνο προνομίων για να κερδίσεις μπόνους μετρητά!";"Szerezz prémiumot bónusz kreditért!";"";"Obțineți timp premium pentru a câștiga bonus credite!";"¡Obtenga tiempo Premium para ganar bonos de Creditos!";"Отримайте преміальний час, щоб заробити бонусні кредити!";"احصل على الامتياز للحصول على موارد اضافية!";"购买付费会员来赢得额外的代币！";"用付費會員時間來贏到額外的代幣！";"";"프리미엄으로 추가 크레딧을 얻으세요!";"";""
"rewardscreen_matchtime";"Rundenzeit %s";"Matchtime %s";"Durée de la partie %s";"Tempo de Jogo %s";"Время матча %s";"Tiempo de partida %s";"Tempo di gioco %s";"";"";"Matchtijd %s";"Czas meczu %s";"Ottelun kesto %s";"Tempo de Partida %s";"Maç süresi %s";"";"Doba zápasu %s";"Χρόνος του ματς %s";"Meccs ideje: %s";"";"Timpul meciului %s";"Tiempo de Partido %s";"Час матчу %s";"وقت المباراة %s";"对决用时 %s";"對決用時 %s";"";"대전 시간 %s";"";""
"reward_loot_caption";"Wähle deine neue Karte!";"Reward: New Card!";"Récompense: Nouvelle carte!";"Recompensa: Carta Nova!";"Выберите вашу награду!";"Recompensa: ¡Nueva Carta!";"Ricompensa: Nuova carta!";"Belønning: Nyt kort!";"";"Beloning: Nieuwe Kaart!";"Wybierz swoją nagrodę!";"Palkinto: Uusi kortti!";"Escolha sua recompensa!";"Ödülünü seç!";"";"Odměna: Nová Karta!";"Ανταμοιβή: Νέα Κάρτα!";"Jutalom: Új Kártya!";"";"Recompensă: Card nou!";"Recompensa: Nueva Tarjeta!";"Нагорода: Нова Карта!";"الجائزة: بطاقة جديدة!";"奖赏：新卡！";"獎賞：新卡！";"";"보상: 새로운 카드!";"";""
"reward_loot_skin_caption";"Wähle deine Skin-Belohnung!";"Choose your reward!";"Choisissez votre récompense!";"Escolhe a tua recompensa!";"Выберите вашу награду!";"¡Escoge tu recompensa!";"Scegli la tua ricompensa!";"Vælg din belønning!";"";"Kies je beloning!";"Wybierz swoją nagrodę!";"Valitse palkintosi!";"Escolha sua recompensa!";"Ödülünü seç!";"";"Vyber si svou odměnu!";"Διάλεξε την ανταμοιβή σου!";"Válaszd ki a jutalmadat!";"";"Alege-ți recompensa!";"¡Elige tu recompensa!";"Виберіть вашу нагороду!";"اختر مكافئتك!";"选择您的奖励！";"選擇你的獎勵！";"";"보상을 선택하세요!";"";""
"reward_loot_choose";"Wählen";"Choose";"Choisir";"Escolhe";"Выбрать";"Escoger";"Scegli";"Vælg";"";"Kies";"Wybierz";"Valitse";"Escolha";"Seç";"";"Vybrat";"Διάλεξε";"Válassz";"";"Alege";"Escoge";"Обрати";"اختار";"选择";"選擇";"";"선택";"";""
"reward_loot_locked_hint";"Du kannst diese Karte nicht wählen, da du sie noch nicht freigeschaltet hast. Schalte möglichst viele Karten frei, um immer die volle Auswahl zu haben!";"You didn´t unlock this card yet. Complete quests and unlock as many cards as possible to always have access to all choices!";"Vous n'avez pas encore déverrouillez cette carte. Complète des quêtes et débloque autant de cartes que possible pour avoir toujours accès à tous les choix!";"Ainda não desbloqueaste esta carta. Completa missões e desbloqueia o maior número de cartas possíveis para ter sempre acesso a todas as escolhas!";"Вы еще не разблокировали эту карту. Выполняйте задания и открывайте как можно больше карт, чтобы всегда иметь доступ ко всем возможностям!";"Aún no has desbloqueado esta carta. ¡Completa misiones y desbloquea tantas cartas como sea posible para tener siempre acceso a todas las opciones!";"Non hai ancora sbloccato questa carta. Completa le missioni e sblocca più carte possibili per avere sempre accesso a tutte le scelte!";"";"";"Je hebt deze kaart nog niet ontgrendeld. Compleet quests en ontgrendel zo veel kaarten mogelijk om altijd toegang tot alle keuzes te hebben!";"Jeszcze nie odblokowałeś tej karty. Rób zadania i odblokuj jak najwięcej kart aby zawsze mieć dostęp do wszystkich wyborów!";"Et ole avannut tätä korttia vielä. Suorita tehtäviä ja avaa aina mahdollisimman monta korttia, jotta kaikki vaihtoehdot ovat saatavilla!";"Você ainda não desbloqueou esta carta. Complete as missões e desbloqueie o máximo de cartas possíveis para sempre ter acesso a todas as escolhas!";"Bu kartı henüz açmadınız. Her zaman tüm ödüllerden yararlanabilmek için; görevleri tamamlayıp tüm kartları açmalısınız!";"";"Ještě jsi tuto kartu neodemkl. Dokonči úkoly a odemkni všechny karty které můžeš, ať máš přístup ke všem možnostem!";"Δεν ξεκλείδωσες αυτήν την κάρτα ακόμη. Ολοκλήρωσε αποστολές και ξεκλείδωσε όσο πιο πολλές κάρτες το δυνατό, για να έχεις πάντοτε πρόσβαση σε όλες τις επιλογές!";"";"";"Încă nu ați deblocat această carte. Completați quest-uri și deblocați cât mai multe cărți pentru a avea întotdeauna acces la toate alegerile!";"Aún no desbloqueaste esta tarjeta. ¡Completa misiones y desbloquea tantas tarjetas como sea posible para tener siempre acceso a todas las opciones!";"Ви ще не розблокували цю карту. Виконайте квести та розблокуйте якомога більше карток, щоб завжди мати доступ до всіх варіантів!";"لم تفتح هذه البطاقة بعد. اكمل المهام لفتح اكثر عدد من البطاقات ليكون لديك اكبر عدد من الخيارات!";"您还未解锁此张卡片。请完成任务并解锁更多卡片才能获得到更多的选项！";"你還無法解鎖此張卡片。請完成任務並儘量多解鎖卡片才能接觸到更多的選項！";"";"아직 이 카드를 잠금 해제하지 않았습니다. 퀘스트를 완료하고 카드를 최대한 많이 잠금 해제하세요!";"";""
