"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"navbar_menu_start_hint";"- Startseite -\nSieh dir die aktuellen Patchnotizen an und folge uns auf unseren sozialen Kanälen!";"- Home -\nTake a look at the latest patch notes! Also follow us on social media!";"- Accueil -\nRegardez les dernières notes de patch! Suivez-nous aussi sur les réseaux sociaux!";"- Inicio -\nVê as nossas últimas atualizações! Segue-nos nas redes sociais!";"- Главная -\nВзгляните на последние заметки об исправлениях! Также следите за нами в социальных сетях!";"- Portada -\n¡Echa un vistazo a las últimas notas de parche! ¡También síguenos en las redes sociales!\n";"- Home -\nDai un'occhiata alle note della patch! Inoltre seguici sui social!";"";"";"- Home -\n Kijk naar de laatste patch noties! Volg ons ook op onze sociale media!";"- Strona główna -\nZobacz najnowsze zmiany! Możesz nas też sprawdzić na mediach społecznościowych!";"- Päävalikko -\nVilkaise mitä viimeisin päivitys toi tullessaan! Muista seurata meitä myös sosiaalisessa mediassa!";"- Página Inicial -\nDê uma olhada nas últimas notas de atualização! Siga-nos nas redes sociais!";"- Ana Menü -\nYama notlarına göz at! Ayrıca bizi sosyal medyada takip et!";"";"- Domů -\nPodívej se na nejnovější seznam změn! A sleduj nás na sociálních sítích!";"- Σπίτι -\nΡίξε μια ματιά στις τελευταίες σημειώσεις ενημέρωσης! Επίσης ακολούθησέ μας στα κοινωνικά δίκτυα!";"- Otthon -\n Vess egy pillantást a legutóbbi frissítések listájára! Kövess minket közösségi médián is!";"";"- Acasă -\nAruncă o privire peste noile modificări! De asemenea, urmărește-ne pe rețelele de socializare!";"- Inicio -\n¡Echa un vistazo a las últimas notas del parche! ¡Síguenos también en las redes sociales!";"- Головна -\nДивіться на останні замітки! Також слідкуйте за нами в соціальних мережах!";"";"- 首页 -\n看一下最新的更新注记！也别忘了在社群媒体上关注我们！";"- 首頁 -\n看一下最新的更新註記！也別忘了在社群媒體上關注我們！";"";"- 홈 -\n최신 패치 노트를 확인하세요! 소셜 미디어에서도 저희를 팔로우할 수 있습니다!";"";""
"navbar_menu_collection";"Kartenhändler";"Card Vendor";"Vendeur de carte";"Cartas";"Продавец карт";"Cartas";"Venditore di Carte";"Kort forhandler";"";"Kaart verkoper";"Dostawca karty";"Legioonat";"Legiões";"Kart Tüccarı";"";"Obchodník s Kartami";"ΠΡΟΜΗΘΕΥΤΗΣ";"Kártya kereskedő";"";"Vânzător de cărți";"Vendedor de Tarjetas";"Продавець карт";"بائع البطاقات";"卡牌供应商";"卡片商人";"";"카드 상인";"";""
"navbar_menu_collection_hint";"- §navbar_menu_collection -\nSchau dir alle Karten der einzelnen Legionen an und wie du sie freischalten kannst!";"- §navbar_menu_collection -\nOverview of all cards and their unlock quests.";"- §navbar_menu_collection -\nAperçu de toutes les cartes et de leurs quêtes de déverrouillage.";"- §navbar_menu_collection -\nVê todas as cartas e o que precisas de fazer para as desbloqueares.";"- §navbar_menu_collection -\nОбзор всех карт и квестов для их разблокировки.";"- §navbar_menu_collection - \nMira todas las cartas y desbloquea sus desafíos.";"- §navbar_menu_collection -\nPanoramica di tutte le carte e delle loro missioni per sbloccarle.";"";"";"";"- §navbar_menu_collection -\nPrzegląd wszystkich kart i zadań do ich odblokowania.";"- §navbar_menu_collection -\nKaikkien korttien yleiskatsaus ja niiden avaamiseen vaadittavat tehtävät.";"- §navbar_menu_collection -\nVisão geral das cartas e das suas missões de desbloqueio.";"- §navbar_menu_collection -\nTüm kartlara ve onları açmak için gereken dükkan görevlerine bak.";"";"- §navbar_menu_collection -\nPřehled všech karet a jak je odemknout.";"- §navbar_menu_collection -\nΕπισκόπησε όλες τις κάρτες και τις αποστολές για να τις ξεκλειδώσεις.";"- §navbar_menu_collection -\nÁttekintése az összes kártyának és feloldó küldetéseiknek.";"";"- §navbar_menu_collection -\nPrevizualizare a tutoror cărților și misiunile pentru deblocarea acestora.";"- §navbar_menu_collection -\nVista general de todas las tarjetas y sus misiones.de desbloqueo.";"- §navbar_menu_collection -\nОгляд усіх карток та їх квест на розблокування.";"";"- §navbar_menu_collection -\n检视所有的卡片以及各自的解锁任务。";"- §navbar_menu_collection -\n檢視所有的卡片以及各自的解鎖任務。";"";"- §navbar_menu_collection -\n모든 카드 및 잠금 해제 퀘스트를 확인할 수 있습니다.";"";""
"navbar_menu_deckbuilding";"Deckbuilder";"Deckbuilder";"Decks";"Construtor de Baralhos";"Создатель колоды";"Creador de mazos";"Costruzione mazzi";"";"";"Dekbouwer";"Edytor talii";"Pakanrakentaja";"Gerenciamento de Decks";"Deste Kurucu";"";"Balíčky";"ΔΗΜΙΟΥΡΓΟΣ";"Pakliépítő";"";"Constructor de pachete";"Constructor de paquetes";"Створювач колод";"بناء الدكة";"牌组建立";"牌組建立";"";"덱 관리";"ผู้สร้างเด็ค";""
"navbar_menu_deckbuilding_hint";"- §navbar_menu_deckbuilding -\nPasse deine Decks an, um neue Strategien auszuprobieren und bestehende zu verfeinern!";"- §navbar_menu_deckbuilding -\nBuild your own Decks and upgrade your cards!";"- §navbar_menu_deckbuilding - \nConstruisez vos propres decks et améliorez vos cartes!";"- §navbar_menu_deckbuilding -\nConstrói os teus baralhos e melhora as tuas cartas!";"- §navbar_menu_deckbuilding -\nСоздавайте свои собственные Колоды и улучшайте ваши карты!";"- §navbar_menu_deckbuilding - \n¡Construye tus propios mazos y mejorar tus cartas!";"- §navbar_menu_deckbuilding -\nCostruisci il tuo mazzo e migliora le tue carte!";"";"";"- §navbar_menu_deckbuilding -\nBouw je eigen Dek en upgrade je kaarten!";"- §navbar_menu_deckbuilding -\nUtwórz swoje własne Talie oraz ulepsz swoje karty!";"- §navbar_menu_deckbuilding -\nRakenna omat pakkasi ja päivitä korttisi!";"- §navbar_menu_deckbuilding -\nGerencie ou construa seus Decks ou aprimore suas cartas!";"- §navbar_menu_deckbuilding -\nKendi destelerini yarat ve kartlarını geliştir!";"";"- §navbar_menu_deckbuilding -\nPoskládej si vlastní Balíčky a vylepši karty!";"- §navbar_menu_deckbuilding -\nΧτίσε τις δικές σου Τράπουλες και αναβάθμισε τις κάρτες σου!";"- §navbar_menu_deckbuilding -\nÁllítsd össze saját Paklijaidat és fejleszd kártyáidat!";"";"- §navbar_menu_deckbuilding -\nConstruiește-ți propriile pachete și upgradează-ți cărțile!";"- §navbar_menu_deckbuilding -\n¡Construye tus propios paquetes y mejora tus tarjetas!";"- §navbar_menu_deckbuilding -\nСтворіть власні колоди та оновіть свої картки!";"";"- §navbar_menu_deckbuilding -\n组立您自己的牌组并别忘了升级您的卡牌们！";"- §navbar_menu_deckbuilding -\n組立你自己的牌組並別忘了升級你的卡片們！";"";"- §navbar_menu_deckbuilding -\n나만의 덱을 만들고 카드를 업그레이드하세요!";"";""
"navbar_menu_inventory";"Beute";"Loot";"Butin";"Recompensa";"Добыча";"Botín";"Bottino";"";"";"";"Łup";"Saalis";"Coletar";"Ganimet";"";"Kořist";"Λάφυρα";"Zsákmány";"";"Comori";"Botín";"Здобич";"";"战利品";"戰利品";"";"보상";"";""
"navbar_menu_play";"Spielen";"Play";"Jouer";"Jogar";"Играть";"Jugar";"Gioca";"Spil";"";"Speel";"Graj";"Pelaa";"Jogar";"Oyna";"";"Hrát";"Παίξε";"Játék";"";"Joacă";"Jugar";"Грати";"العب";"开始游戏";"開始遊戲";"";"게임 시작";"";""
"navbar_menu_play_hint";"- §navbar_menu_play -\nJetzt geht's los! Starte ein Spiel gegen andere Spieler oder die K.I.!";"- §navbar_menu_play -\nHere we go! Play a game against other players or the AI!";"- §navbar_menu_play - \nNous y voilà! Jouez une partie contre d'autres joueurs ou contre l'IA!";"- §navbar_menu_play -\nAqui vamos nós! Joga contra outros jogadores ou contra IA!";"- §navbar_menu_play -\nВот пожалуйста! Сыграйте против других игроков или искусственного интеллекта!";"- §navbar_menu_play - \n¡Aquí vamos! ¡Juega una partida contra otros jugadores o la IA!";"- §navbar_menu_play -\nCi siamo! Gioca contro un altro giocatore o contro l'IA!";"";"";"";"- §navbar_menu_play -\nZaczynamy! Zagraj przeciwko innym graczom lub SI!";"- §navbar_menu_play -\nMenoksi! Pelaa muita pelaajia tai tekoälyä vastaan!";"- §navbar_menu_play -\nAqui vamos nós! Jogue uma partida contra outros jogadores ou a I.A.!";"- §navbar_menu_play -\nİşte başlıyoruz! Diğer oyunculara veya botlara karşı oyun oyna!";"";"- §navbar_menu_play -\nHůrá sem! Hrej zápas proti ostatním hráčům nebo UI!";"- §navbar_menu_play -\nΕμπρός λοιπόν! Παίξε ένα παιχνίδι εναντίον άλλων παικτών ή της ΤΝ (Τεχνητής Νοημοσύνης)!";"- §navbar_menu_play -\nEssünk neki! Játssz egy játékot egy másik játékos vagy a gép ellen!";"";"- §navbar_menu_play -\nSă-i dăm bice! Joacă un meci împotriva altor jucători sau contra AI!";"- §navbar_menu_play -\n¡Aquí vamos! ¡Juega una partida contra otros jugadores o la IA!";"- §navbar_menu_play -\nПриступаємо! Зіграйте гру проти інших гравців або ШІ!";"";"- §navbar_menu_play -\n由此开始！和其他玩家或是 AI 对抗！";"- §navbar_menu_play -\n由此開始！和其他玩家或是 AI 對抗！";"";"- §navbar_menu_play -\n자, 시작해볼까요! 다른 플레이어나 AI와 함께 플레이하세요!";"";""
"navbar_menu_play_queue_info";"In Warteschlange seit %s";"In queue %s";"Dans la file d'attente %s";"Na fila %s";"В очереди %s";"En cola %s";"In coda %s";"";"";"";"W kolejce %s";"Jonossa %s";"Na fila %s";"Sırada %s";"";"Vyhledávání %s";"Σε αναμονή %s";"Sorban állás %s";"";"În așteptare %s";"En cola %s";"У черзі %s";"";"排队中%s";"在佇列排隊 %s";"";"대기열 %s";"";""
"navbar_menu_shop";"Shop";"Shop";"Boutique";"Loja";"Магазин";"Tienda";"Negozio";"Butik";"";"Winkel";"Sklep";"Kauppa";"Loja";"Dükkan";"";"Obchod";"ΚΑΤΑΣΤΗΜΑ";"Bolt";"";"Magazin";"Tienda";"Магазин";"سوق";"商店";"商店";"";"상점";"";""
