"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"levelup_reward_daily_quests_unlocked";"Tägliche und wöchentliche Quests freigeschaltet!";"Daily and weekly quests unlocked!";"Quêtes journalières et hebdomadaires déverrouillées!";"Você desbloqueou as missões diárias!";"Вы разблокировали ежедневные и еженедельные квесты!";"¡Misiones diarias y semanales desbloqueadas!";"Missioni giornaliere e settimanali sbloccate!";"Daglige og ugentlige opgaver er blevet låst op!";"";"Je hebt je dagelijkse en wekelijkse opdracht ontgrendeld!";"Masz odblokowane dzienne zadania!";"Olet avannut päivittäiset ja viikoittaiset tehtävät!";"Você desbloqueou as missões diárias!";"Günlük ve haftalık görevler açıldı!";"";"Denní a týdenní úkoly odemknuty!";"Ξεκλειδώθηκαν καθημερινές και εβδομαδιαίες αποστολές!";"A napi, illetve heti küldetések nyitva!";"";"Misiuni zilnice și săptămânale deblocate!";"¡Misiones diarias y semanales desbloqueadas!";"Щоденні і щотижневі квести розблоковано!";"";"每日与每周任务均已解锁！";"每日與每週任務均已解鎖！";"";"일일 및 주간 퀘스트가 잠금 해제되었습니다!";"";""
"levelup_reward_lootlevel_increased";"Größere Tagesquest-Belohnungen!";"Higher daily quest rewards!";"Récompenses de quêtes journalières plus élevées!";"Agora vais receber recompensas melhores de missões diárias!";"Теперь вы будете получать более престижные ежедневные награды за квесты!";"¡Mayores recompensas de misiones diarias!";"Ricompense più alte per le missioni giornaliere!";"";"";"Je krijgt betere dagelijkse opdracht beloningen!";"Od teraz będziesz dostawać lepsze nagrody za dzienne zadania!";"Saat jatkossa päivittäisistä tehtävistä parempia palkintoja!";"Agora você vai receber recompensas melhores das missões diárias!";"Artık günlük görevlerden daha yüksek ödüller kazanacaksınız!";"";"Lepší odměny z denních úkolů!";"Υψηλότερες ανταμοιβές καθημερινών αποστολών!";"";"";"Recompense mai mari pentru misiunile zilnice!";"¡Mayores recompensas de misiones diarias!";"Тепер ви будете отримувати більш престижніші щоденні нагороди за квести!";"";"每日任务的报酬更多了！";"每日任務的報酬更多了！";"";"더 많은 일일 퀘스트 보상!";"";""
"messages_soft_reset_subject";"Account zurückgesetzt";"Account Reset Compensation";"Compensation de réinitialisation de compte";"";"Компенсация за сброс аккаунта";"Compensación por el reinicio de cuenta";"Reset Compensazione Account";"";"";"Account Reset Compensatie";"Odszkodowanie za reset konta";"Tilin nollaushyvitys";"Compensação pelo Reset de Conta";"Hesap Sıfırlama Ödülü";"";"Kompenzace resetování účtu";"Αποζημίωση Επαναφοράς Λογαριασμού";"";"";"Compensare pentru resetarea contului";"Compensación de Reinicio de Cuenta";"Компенсація за скидання акаунту";"";"帐号重置补偿";"帳號重置補償";"";"계정 초기화 보상";"";""
"messages_soft_reset_text";"Alle Accounts wurden für diese Stufe der Beta zurückgesetzt. Du erhältst natürlich all deine hart verdienten Kristalle zurück und dazu noch ein paar mehr für die Credits die du erspielt hast. Viel Spaß!";"All accounts have been reset. You'll receive all of your hard earned crystals back though! (Plus some more for the amount of credits you earned) Have an awesome time!";"Tous les comptes ont été réinitialisés. Vous recevrez par contre tous vos cristaux durement gagnés! (Plus un peu plus pour le montant de crédits que vous avez gagnés) Amusez-vous bien!";"Todas as contas foram reiniciadas. Irás receber todos os cristais para que trabalhaste arduamente! (Ainda mais alguns pela quantidade de créditos que recebeste) Boa sorte!";"Все аккаунты были сброшены. Но вы получите обратно все свои с трудом заработанные кристаллы! (Плюс еще немного за сумму кредитов, которые вы заработали) Желаем вам прекрасно провести время!";"Todas las cuentas han sido restablecidas. ¡Sin embargo, recibirás todos tus cristales ganados! (Más algunos extra por la cantidad de créditos que ganaste) ¡Pasa un buen rato!";"Tutti gli accout sono stati resettati. Riceverai tutti i tuoi cristalli faticosamente guadagnati di nuovo indietro! (Più qualche somma di crediti che hai guadagnato) Divertiti!";"";"";"Alle accounts zijn gereset. Je krijgt al je hard verdiende kristallen terug! (plus een paar meer voor de hoeveelheid credits dat je hebt verdiend) Heb een geweldige tijd!";"Wszystkie konta zostały zresetowane. Jednak otrzymasz z powrotem wszystkie trudem zarobione kryształy! (Dodatkowo trochę więcej za wszystkie zarobione kredyty) Miłej zabawy!";"Kaikki tilit ovat nollattu. Saat kuitenkin kaikki kovalla työllä ansaitsemasi kristallit takaisin! (Lisäksi vähän extraa ansaitsemasi krediittien mukaan) Pidä hauskaa!";"Todas as contas foram resetadas. Você receberá todos os cristais que recebeu de volta como compensação! (Além disso, uma uma quantia adicional de créditos ganhos). Tenha ótimas partidas!";"Tüm hesaplar sıfırlandı. Çok çalışarak kazandığınız kristalleriniz hesabınıza geri eklenecek! (Ayrıca kazandığınız kredi miktarı için biraz daha fazlası) İyi oyunlar!";"";"Všechny účty byly resetovány. Ale obdržíte všechny těžce získané krystaly zpět! (Navíc další podle počtu získaných kreditů) Bavte se!";"Όλοι οι λογαριασμοί έχουν επαναφερθεί. Θα πάρεις πίσω, ωστόσο, όλους τους κρυστάλλους που τόσο δύσκολα κατέκτησες! (Και λίγο παραπάνω απ' τα μετρητά που κέρδισες) Καλή διασκέδαση!";"";"";"Toate conturile au fost resetate. Totuși, vei primi toate cristalele pentru care ai muncit din greu! (Plus câteva pentru creditele pe care le-ai câștigat) Să ai parte de un timp minunat!";"";"Усі облікові записи були обнулені. Ви отримаєте назад усі свої зароблені кристали! (Плюс ще трохи на суму зароблених вами кредитів) Бажаємо добре провести час!";"";"所有的帐户都被重置了。您将会收到足额的水晶返回！(会多加一些补偿您曾赚取的代币) 愿您有个好日子！";"所有的帳戶都被重置了。你將會收到足額的水晶返回！(會多加一些補償你曾賺取的代幣) 願你有個好日子！";"";"모든 계정이 초기화되었습니다. 어렵게 얻은 수정은 모두 돌려받을 수 있습니다! (보너스 크레딧과 함께요.) 멋진 시간 보내세요!";"";""
"messages_first_crystal_purchase_subject";"Bonus zum Kauf!";"Bonus for purchase!";"Bonus d'achat!";"Bônus de compra!";"Бонус за покупку!";"¡Bonus por la compra!";"Bonus per l'acquisto!";"";"Bonus på köpet!";"Bonus voor de aankoop!";"Bonus za zakup!";"Bonus ostosta!";"Bônus de compra!";"Satın alma bonusu!";"";"Bonus k nákupu!";"Μπόνους για να αγοράσεις!";"";"";"Bonus pentru achiziție!";"";"Бонус за покупку!";"مكافأة على الشراء!";"购买后的额外赠送！";"購買後的額外贈送！";"";"구매 추가 보상!";"";""
"messages_first_crystal_purchase_text";"Da du zum ersten Mal Kristalle gekauft hast, erhältst du eine Skindraftbox als Dankeschön dazu!";"In gratitude for purchasing crystals for the first time, you gain an additional skin draft box!";"En remerciement pour votre premier achat de cristaux, vous gagnez une caisse d'apparence supplémentaire!";"Como agradecimento por comprares cristais pela primeira vez, recebeste uma caixa com uma skin adicional!";"В благодарность за покупку кристаллов в первый раз, вы получаете дополнительную коробку c кожей!";"¡En agradecimiento por la primera compra de cristales, recibes una caja de aspecto!";"Per ringraziarti di aver acquistato cristalli per la prima volta, guadagni una cassa di aspetti addizionale!";"";"";"Als bedankje voor het eerste keer kopen van kristallen, krijg je een extra kostuum box!";"W podziękowaniu za zakup kryształów po raz pierwszy, dostajesz dodatkową skrzynkę ze skórkami!";"Kiitoksena ensimmäisestä kristalliostoksestasi, saat kaupanpäällisenä kosmeettisen ulkoasun!";"Em agradecimento pela primeira compra de cristais, você ganhará uma caixa de skins!";"İlk kez kristal satın aldığınız için, bir adet kostüm kutusu kazandınız!";"";"Jako bonus k prvnímu nákupu krystalů, obdržíš dodatečný bonus!";"Ως ένδειξη ευγνωμοσύνης που αγόρασες κρυστάλλους για πρώτη φορά, κερδίζεις ένα επιπλέον κουτί προσχέδιων εμφανίσεων!";"";"";"În mulțumire pentru achiziționarea cristalelor pentru prima dată, vei primi o cutie draft cu skinuri!";"";"В подяку за покупки кристалів в перший раз, ви отримуєте додатковий короб!";"";"多谢第一次购买水晶，您多得到一个皮肤惊喜箱！";"多謝第一次購買水晶，您多得到一個皮膚驚喜箱！";"";"첫 수정 구매에 대한 감사의 표시로 스킨 상자를 하나 더 얻었습니다!";"";""
"messagedialog_error_caption";"Fehler";"Error";"Erreur";"Erro";"Ошибка";"Error";"Errore";"Fejl";"Error";"Fout";"Błąd";"Virhe";"Erro";"Hata";"Грешка";"Chyba";"Σφάλμα";"Hiba";"";"Eroare";"Error";"Помилка";"";"錯誤";"錯誤";"";"오류";"";""
"messagedialog_error_message_serverqueueerror";"Es ist ein Fehler bei der Spielsuche aufgetreten. Bitte versuche es später erneut.";"An error occured while searching for a game. Please try again later.";"Une erreur s'est produite lors de la recherche d'une partie. Veuillez réessayer plus tard.";"Um erro ocorreu na busca por um jogo. Por favor, tente novamente.";"Произошла ошибка при поиске игры. Пожалуйста, попробуйте снова позже.";"Se produjo un error al buscar una partida. Por favor, inténtelo de nuevo más tarde.";"Si è verificato un errore durante la ricerca di una partita. Per favore riprova più tardi.";"";"";"Er is een fout opgetreden tijdens het zoeken naar een wedstrijd. Probeer later opnieuw.";"Wystąpił błąd podczas wyszukiwania gry. Proszę spróbować później.";"Peliä etsiessä tapahtui virhe. Yritä myöhemmin uudelleen.";"Um erro ocorreu na busca por um jogo. Por favor, tente novamente.";"Oyun aranırken bir sorunla karşılaşıldı. Lütfen daha sonra tekrar deneyiniz.";"";"Došlo k chybě při hledání hry. Prosím zkus znovu později.";"Ένα σφάλμα προέκυψε καθώς αναζητούνταν παιχνίδι. Παρακαλούμε δοκίμασε ξανά αργότερα.";"Hiba történt meccskeresés közben. Kérlek, próbáld újra kicsit később.";"";"O eroare a ocurs în timpul cătuării meciului. Vă rugăm încercați mai târziu.";"";"Сталася помилка при пошуку гри. Будь ласка, спробуйте ще раз пізніше.";"";"当搜索可加入游戏时发生错误。请稍候重试。";"當搜索可加入遊戲時發生錯誤。請稍候重試。";"";"게임을 찾는 동안 오류가 발생했습니다. 나중에 다시 시도해주세요.";"";""
"notification_card_unlocked";"wurde freigeschaltet!";"has been unlocked!";"a été déverrouillé!";"foi desbloqueado na loja!";"был разблокирован!";"ha sido desbloqueado!";"è stato sbloccato!";"er blevet låst op!";"";"is ontgrendeld in de winkel!";"został odblokowany w sklepie!";"on avattu!";"foi desbloqueado na loja!";"artık satın alınabilir!";"";"bylo odemčeno!";"έχει ξεκλειδωθεί!";"feloldva!";"";"a fost deblocat(ă)!";"";"тепер розблокована!";"";"已经被解锁了！";"已經被解鎖了！";"";"가 잠금 해제되었습니다!";"";""
"notification_friend_request";"hat dir eine Freundschaftsanfrage geschickt!";"has sent you a friend request!";"vous a envoyé une demande d'ami!";"enviou-te um pedido de amizade!";"отправил вам запрос на дружбу!";"te ha enviado una petición de amistad!";"ti ha inviato una richiesta di amicizia!";"har sendt dig en venneanmodning!";"";"heeft jou een vriendschapsverzoek gestuurd!";"wysłał ci zaproszenie do znajomych!";"lähetti sinulle kaveripyynnön!";"te enviou uma solicitação de amizade!";"seninle arkadaş olmak istiyor!";"";"poslal žádost o přátelství!";"σου έχει στείλει ένα αίτημα φιλίας!";"";"";"ți-a trimis o cerere de prietenie!";"";"відправив вам запит на додавання в друзі!";"";"传送了好友请求给您！";"傳送了好友請求給你！";"";"가 친구 요청을 보냈습니다!";"";""
