"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"loading_initializing";"Versammle die Saatlinge";"Growing Saplings";"Croissance des arbrisseaux";"A Deixar Crescer as Árvores";"Выращивание Саженцев";"Creando Retoños";"Annaffiando i Sapling";"Gror Stiklinger";"";"Groeiende jonge bomen";"Uprawianie Sadzonek";"Kasvatetaan taimia";"Crescendo Brotos";"Fidanlar Yeşeriyor";"";"Pěstování Sazenic";"Φυτρώνουν Δενδρύλλια";"Csemeték Termesztése";"";"Crescănd Puieti";"Arbolitos en crecimiento";"Вирощування саджанців";"زرع النبات";"幼苗成长中";"狂長幼苗";"";"묘목을 키우는 중";"กำลังปลูกต้นอ่อน";""
"loading_finalizing";"Klappe die Brücken runter";"Building Bridges";"Construction des ponts";"A construir Pontes";"Возводим мосты";"Construyendo puentes";"Costruendo Ponti";"Bygger Broer";"";"Bruggen bouwen";"Budowanie Mostów";"Rakennetaan siltoja";"Construindo Pontes";"Köprüler Kuruluyor";"Строене на мостове";"Stavba Mostů";"Χτίζονται Γέφυρες";"Hidak Építése";"";"Construind Poduri";"Construyendo Puentes";"Будівництво мостів";"بناء الجسور";"建筑桥梁";"建築橋樑";"";"다리를 건설 중";"กำลังาร้างสะพาน";""
"loading_asset_type_acModel";"Verteile Seelen";"Gathering Souls";"Rassemblement des âmes";"A Recolher Almas";"Собираем души";"Recolectando Almas";"Raccogliendo Anime";"Samler Sjæle";"";"Zielen aan het verzamelen";"Zbieranie Dusz";"Kerätään sieluja";"Coletando Almas";"Ruhlar Toplanıyor";"Събиране на души";"Sbírání Duší";"Μαζεύονται Ψυχές";"Lelkek Begyűjtése";"";"Adunând Suflete";"Reuniendo Almas";"Збирання душ";"جمع الارواح";"收取灵魂";"收取靈魂";"";"영혼을 모으는 중";"กำลังรวบรวมวิญญาณ";""
"loading_asset_type_acTexture";"Forme haufenweise Golems";"Sculpting Golems";"Sculptage des golems";"A esculpir Golems";"Лепим големов";"Esculpiendo Golems";"Scolpendo Golem";"Modellerer Golemmer";"";"Golems aan het beeldhouwen";"Rzieźbienie Golemów";"Veistetään Golemeja";"Esculpindo Golems";"Golemler Şekillendiriliyor";"";"Modelování Golemů";"Σμιλεύονται Γκόλεμ";"Gólemek Faragása";"";"Sculptând Golemuri";"Esculpir Golems";"Моделювання Големів";"نحت العمالقة";"雕刻魔像";"雕刻魔像";"";"골렘을 조각 중";"กำลังแกะสลักโกเล็ม";""
"loading_asset_type_acXMLFile";"Mische die Karten und sortiere sie wieder";"Beep Boooop Beep";"Beep Boooop Beep";"Beep Boooop Beep";"Бип Бууп Бип";"Beep Boooop Beep";"Beep Boooop Beep";"Biip Båååååp Biip";"";"Piep Boooop Piep";"Beep Boooop Beep";"Piip paaaap piip";"Beep Boooop Beep! Eu sou robô do BoloDeMilho";"Biiip Boooop Bip Bip Bip";"Бийп Бууп Бийп";"Tůt Píp Tů tů tů tů tů 01001000 01101111 01101010";"Μπικ Μπλιπ Μπιπ";"Beep Boooop Beep";"";"Beep Boooop Beep";"Bip Bup Bip Bip Buuup Bip";"Біп Буууп Біп";"بييب بوووب بييب";"哔~滴滴滴滴... 哔～";"嗶~滴滴滴滴... 嗶～";"";"삡 부웁 빕";"";""
"loading_asset_type_acScriptFile";"Schütte die Strände auf";"Deploying Sand";"Déploiement du sable";"A Despejar Areia";"Насыпаем песочек";"Desplegando Arena";"Depositando la sabbia";"Spreder Sand";"";"Zand aan het neerleggen";"Wdrażanie Piasku";"Tasoitetaan hiekkaa";"Colocando Areia";"Kumlar Dağıtılıyor";"";"Přesýpání písku";"Διαχέεται Άμμος";"Homok Lerakása";"";"Lansarea Nisipului";"Desplegando arena";"Розподіл піску";"نشر الرمال";"安置沙地中";"安置沙地";"";"모래를 배치 중";"";""
"loading_asset_type_acParticleEffect";"Poliere die Rüstungen";"Polishing Armor";"Polissage d'armure";"A Polir a Armadura";"Полируем доспехи";"Puliendo Armaduras";"Lucidando l'armatura";"Polerer rustninger";"";"Schild aan het oppoetsen";"Polerowanie Zbroi";"Kiillotetaan panssaria";"Polindo Armaduras";"Zırhlar Parlatılıyor";"Полиране на брони";"Leštění ... Brnění";"Γυαλίζεται Πανοπλία";"Páncél Fényesítése";"";"Lustruind armura";"Puliendo Armadura";"Шліфування броні";"تلميع الدروع";"擦亮盔甲中";"擦亮盔甲";"";"방어구를 닦는 중";"";""
"loading_asset_type_acShader";"Wecke Lothar auf";"Waking up Lothar";"Réveil de Lothar";"A acordar Lothar";"Будим Лотара";"Despertando a Lothar";"Svegliando Lothar";"Vækker Lothar";"";"Lothar wakker maken";"Budzenie Lothara";"Herätetään Lothar";"Acordando Lothar";"Lothar Uyandırılıyor";"";"Probouzení Lothara";"Ξυπνά ο Λοθάριος";"Lothar Felkeltése";"";"Trezirea lui Lothar";"Despertando a Lothar";"Пробудження Лотару";"ايقاظ لوثار";"叫醒洛萨";"叫醒 Lothar";"";"로서를 깨우는 중";"";""
"loading_tutorial_text_1";"Baue <span class=""keyword essence"">Spawner</span> um Einheiten zu produzieren";"Build <span class=""keyword essence"">Spawners</span> to produce units";"Construisez des <span class=""keyword essence"">invocateurs</span> pour produire des unités";"Constrói <span class=""keyword essence"">Criadores</span> para produzires unidades";"Постройте <span class=""keyword essence"">спавнеры</span> для создания юнитов";"Construir <span class=""keyword essence"">generadores</span> para producir unidades";"Costruisci gli <span class=""keyword essence"">Spawn</span> per produrre unità";"Byg <span class=""keyword essence"">Spawners</span> for at producerer enheder";"";"";"Buduj <span class=""keyword essence"">przywoływacze</span> by produkować jednostki";"Rakenna <span class=""keyword essence"">Spawneri</span> yksiköt tuotantoon";"Construa <span class=""keyword essence"">Geradores</span> para produzir unidades";"Birim üretmek için <span class=""keyword essence"">Üretici</span> yerleştir";"";"Pokládej <span class=""keyword essence"">Spawnery</span> pro produkci jednotek";"Χτίσε <span class=""keyword essence"">Γεννήτορες</span> για να παραγάγεις μονάδες";"Építs <span class=""keyword essence"">Spawners</span> -eket hogy azok egységeket gyárthassanak";"";"Construiți <span class=""keyword essence"">Reproducatori</span>pentru a produce unitați";"Construye <span class=""keyword essence"">Generadores</span> para producir unidades";"Побудуйте <span class=""keyword essence"">Спавнери</span> для отримання юнітів";"ابني<span class=""keyword essence"">ولادات</span> لانتاج الوحدات";"放置 <span class=""keyword essence"">生成单位</span> 来制造单位";"放置 <span class=""keyword essence"">生成單位</span> 來製造單位";"";"<span class=""keyword essence"">생성기</span>를 건설하여 유닛을 합니다";"";""
"loading_tutorial_text_2";"Nutze dein <span class=""keyword mana"">Mana</span> um Einheiten und Zauber zu spielen";"Spend your <span class=""keyword mana"">Mana</span> to play units and spells";"Dépensez votre <span class=""keyword mana"">mana</span> pour jouer des unités et des sorts";"Usa a tua <span class=""keyword mana"">Mana</span> para usares unidades e feitiços";"Чтобы играть юнитами и заклинаниями расходуется <span class=""keyword mana"">мана</span>";"Gasta tu <span class=""keyword mana"">maná</span> para jugar unidades y hechizos";"Spendi il tuo <span class=""keyword mana"">Mana</span> per giocare unità e magie";"Brug dit Mana på at sende tropper og kaste magi";"";"";"Wydawaj <span class=""keyword mana"">Manę</span> by zagrywać jednostki i zaklęcia";"Kuluta <span class=""keyword mana"">Manaasi</span> pelataksesi yksiköitäsi ja loitsujasi";"Gaste sua <span class=""keyword mana"">Mana</span> para por unidades e gastar feitiços";"Büyü kullanmak ve birim çağırmak için <span class=""keyword mana"">Mana</span> kullan";"";"Používej <span class=""keyword mana"">Manu</span> pro vyvolávání jednotek a kouzlení";"Ξόδεψε το <span class=""keyword mana"">Μάνα</span> σου για να παίξεις μονάδες και ξόρκια";"Költsd el a <span class=""keyword mana"">Mana</span> -dat hogy egységeket és varázslatokat használhass";"";"Cheltuiți-vă <span class=""keyword mana"">Mana</span>pentru a juca unități și vrăji";"Gasta tu <span class=""keyword mana"">Mana</span> para jugar unidades y hechizos";"При виклику юніта або заклинання витрачається <span class=""keyword mana"">Мана</span>";"استخدم <span class=""keyword mana"">السحر</span> لوضع الوحدات و الاسحار";"您需花费 <span class=""keyword mana"">魔力</span> 才能放置单位和法术";"你需花費 <span class=""keyword mana"">魔力</span> 才能放置單位和法術";"";"<span class=""keyword mana"">마나</span>를 써서 유닛과 주문 카드를 사용합니다";"";""
